stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
23397,23397,J St. at 6th St.,,38.5816665459449,-121.498715725754,0,1
23398,23398,J St. at 8th St.,,38.5810083317443,-121.496386350246,0,1
23385,23385,9th St. at K St.,,38.5792464951902,-121.495463675532,0,1
23400,23400,L St. at 5th St.,,38.5797707150566,-121.500480404169,0,1
23492,23492,Terminal A (Airport),,38.6924514306278,-121.58859109074,0,1
23493,23493,Terminal B (Airport),,38.691235391147,-121.590562640138,0,1
23084,23084,E. Main at Industrial WB,"38.67742469853481, -121.75376602314435",38.6773703086134,-121.753777817471,0,1
23473,23473,West Sacramento Transit Center,,38.5809329796394,-121.522479595094,0,1
23284,23284,W. Capitol at Jefferson WB,,38.5809079089507,-121.526012984572,0,1
23335,23335,W. Capitol at Westacre WB,,38.5804749046916,-121.530814406027,0,1
23289,23289,W. Capitol at Poplar WB,,38.5802324330348,-121.534871590864,0,1
23277,23277,W. Capitol at Cedar WB,,38.5798840527847,-121.539413641375,0,1
23286,23286,W. Capitol at Pecan WB,,38.5797168296644,-121.542112489284,0,1
23280,23280,W. Capitol at Glide WB,,38.5795189484691,-121.545652721747,0,1
23282,23282,W. Capitol at Harbor WB,,38.579424188267,-121.54737827312,0,1
23320,23320,Harbor at W. Capitol NB,,38.5805119502197,-121.548532354821,0,1
23233,23233,Harbor at Duluth NB,,38.5848237645674,-121.547110528212,0,1
23565,23565,Riverpoint at Harbor WB,,38.5893087227022,-121.546525663365,0,1
23567,23567,Riverpoint at Wal-Mart,,38.5891110354132,-121.549914571638,0,1
23421,23421,Ikea Ct. at IKEA NB,,38.5891254478189,-121.552002162713,0,1
23263,23263,Reed at I-80 WB,,38.5920173340207,-121.551229898543,0,1
23329,23329,Stillwater at Reed,,38.5914998657586,-121.555792746015,0,1
23328,23328,Stillwater at Citi Group,,38.5885692291599,-121.558004114509,0,1
23579,23579,Riverside at Embarcadero WB,,38.5858721190584,-121.563002717826,0,1
23330,23330,Riverside at State Library WB,Riverside at State Library,38.5865964643119,-121.566329691787,0,1
23267,23267,Riverside at Cummins Co.,,38.5895683520775,-121.566233132257,0,1
23478,23478,Riverside at Social Security,,38.590827649285,-121.564031038525,0,1
23265,23265,Reed at Stillwater,,38.592185569452,-121.557214572624,0,1
23264,23264,Reed at Ikea EB,,38.591685956221,-121.548297199505,0,1
23564,23564,Harbor at Riverpoint,,38.5885960512516,-121.546109857923,0,1
23232,23232,Harbor at Duluth SB,,38.584532114356,-121.547392876758,0,1
23230,23230,Harbor at W. Capitol SB,,38.5810479851066,-121.548562606451,0,1
23563,23563,N St. at 7th St.,,38.5768244090496,-121.499245099754,0,1
23391,23391,9th St. at L St.,,38.5781277780342,-121.495984090365,0,1
23600,23600,Capitol Mall at 7th St.,,38.578002344212,-121.498241891079,0,1
23411,23411,Capitol Mall at Front WB,Old Sacramento,38.5801333310709,-121.506318968753,0,1
23574,23574,Cabaldon Pkwy at Sutter Health Park WB,Tower Bridge Gtwy at Raley Field WB,38.581607425154,-121.511910478361,0,1
23577,23577,Garden at W. Capitol NB,,38.5819067590427,-121.518444831921,0,1
23145,23145,B at 4th SB,,38.5450619310986,-121.745094063324,0,1
23107,23107,1st St. at C St. EB,,38.5415537464432,-121.742612494218,0,1
23368,23368,Cowell at Drew EB,,38.5398482406049,-121.726764692471,0,1
23193,23193,Lillard at Cowell EB,Lillard at Cowell,38.5412483537941,-121.722152633795,0,1
23171,23171,Drummond at Lillard NB,,38.543595286822,-121.713381809794,0,1
23160,23160,Cowell at Drummond EB,,38.5474737612888,-121.712531549485,0,1
23165,23165,Cowell at La Vida EB,,38.5481617479421,-121.702776354717,0,1
23175,23175,Ensenada at Chiles,,38.5503464073149,-121.700656068364,0,1
23203,23203,Mace at Chiles,,38.5497335225185,-121.694444071915,0,1
23162,23162,Cowell at El Cemonte EB,Cowell at El Cemonte,38.5488430290725,-121.690238367929,0,1
23173,23173,El Cemonte at Glide NB,El Cemonte at Glide,38.5509981841444,-121.690978657662,0,1
23149,23149,Chiles at Mace,,38.5510431947177,-121.693283179652,0,1
23390,23390,9th St. at Capitol Mall,,38.5769413530978,-121.496503410013,0,1
23392,23392,9th St. at N St.,,38.575923279044,-121.496911323753,0,1
23393,23393,9th St. at O St.,,38.5749350284692,-121.497360539529,0,1
23394,23394,9th St. at P St.,,38.5738786307034,-121.497814313979,0,1
23395,23395,10th St. at N St.,,38.5756722726159,-121.495404000806,0,1
23417,23417,N St. at 14th St.,,38.5745250849125,-121.490518629213,0,1
23416,23416,16th St. at Capitol Ave,,38.5744186568761,-121.486747259341,0,1
23240,23240,Jefferson at Michigan NB,,38.5830000416632,-121.526163762838,0,1
23439,23439,Jefferson at Triangle Court NB,,38.5872652491129,-121.526879419175,0,1
23223,23223,5th St. at C St.,,38.5890892208378,-121.512551872064,0,1
23224,23224,6th St. at Andrew SB,,38.5908477512066,-121.513893246038,0,1
23508,23508,Cummins at Rueter WB,,38.5933889571224,-121.517104618141,0,1
23509,23509,Cummins at Fairway WB,Cummins at Fairway,38.5939434733857,-121.521504061101,0,1
23510,23510,Cummins at Hardy WB,Cummins at Hardy,38.5941803257605,-121.52347204531,0,1
23511,23511,Cummins at Kegle WB,,38.5943530881764,-121.525924895193,0,1
23424,23424,Anna at Holland WB,,38.5963565445338,-121.529664778228,0,1
23423,23423,Anna at Todhunter WB,,38.5953840810461,-121.533475965039,0,1
23226,23226,Anna at Bryte WB,,38.594319650322,-121.537397672701,0,1
23228,23228,Bryte at Lisbon,,38.5955456948021,-121.538756009628,0,1
23255,23255,Lisbon at Water,,38.5947710600435,-121.542239199071,0,1
23272,23272,Water at Hobson SB,Water at Hobson,38.5924471056134,-121.541447727161,0,1
23327,23327,Solano at Sacramento SB,Solano at Sacramento,38.5913742715336,-121.540071564291,0,1
23379,23379,Reed at Oak WB,Reed at Oak,38.5915860530375,-121.543918402989,0,1
23566,23566,Ikea Ct. at Reed,,38.5912293680394,-121.548916797665,0,1
23380,23380,Reed at Oak EB,Reed at Oak,38.5913937777509,-121.544014663086,0,1
23437,23437,Sacramento at Bryte EB,Sacramento at Bryte,38.5905382858131,-121.537121064731,0,1
23332,23332,Sacramento at Todhunter,,38.5901481558122,-121.533584397458,0,1
23434,23434,Sacramento at Jefferson EB,Sacramento at Jefferson,38.589476569916,-121.527440100424,0,1
23243,23243,Jefferson at Triangle Court SB,,38.5873293446177,-121.527150373522,0,1
23239,23239,Jefferson at Michigan,,38.5824677364719,-121.526623672191,0,1
23304,23304,East at Gum,,38.6696819569926,-121.765467878716,0,1
23569,23569,East at Cross NB,,38.6721899014145,-121.765432226829,0,1
23361,23361,E. Main at Industrial EB,,38.6771554278355,-121.7513925134,0,1
23396,23396,J St. at 4th St.,,38.5822474370777,-121.500972641171,0,1
23287,23287,W. Capitol at Pine WB,W. Capitol at Pine,38.5789225145262,-121.555663771854,0,1
