shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.5888764859427,-121.504484351219,192,37419.91
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5948889618979,-121.51363907093,128,8785.54
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6765632695973,-121.738080842791,125,9461.26
68eaf323-11f3-45c2-aaca-cc67cef312bc,38.5754456135816,-121.567105868531,144,21146.67
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5810483670694,-121.518204181679,190,12280.94
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.7036413671757,-122.094982391297,62,6941.63
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5815165821448,-121.518382441118,188,12226.65
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.7034781061407,-122.102056888078,60,6327.73
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5809820590922,-121.518034910089,237,37919.03
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6771533253479,-121.746498253509,117,8662.07
6fb32afd-cbc2-479b-beb0-7b99ef52c887,38.5433272793149,-121.749821422135,91,15206.75
f2337760-ee39-40ac-b3cf-dd8f540d05b9,38.5933889571224,-121.517104618141,56,3652.74
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.579424188267,-121.54737827312,255,44057.49
194f3ae7-10e8-41a7-bce0-afdd9c374ca1,38.677350092764,-121.764380540901,18,2383.49
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5902827851316,-121.550135908503,45,3625.62
d6ba0d8e-f57e-4bfe-ba1f-4075873ebb4b,38.5961958027553,-121.530081721599,99,6961.75
015bd1c0-6b73-4bf2-b33d-12b22c508535,38.5544647092276,-121.785655745229,190,32344.47
7421ad0f-5741-4516-bb4e-18c0a63635f3,38.6626809690157,-121.765767604493,197,18267.35
0a4bed5e-7ebb-4f29-af0a-b15bd5c8036d,38.5510431947177,-121.693283179652,50,9755.87
b5914a76-7694-4355-b9d6-e3d85956967a,38.5464116064555,-121.758771494554,106,28794.23
ac555105-3961-4d73-b885-845c6bea1e50,38.5456614275113,-121.727027868022,86,22744.84
a4337f0e-eeeb-42cc-8bfa-4a77439fa5b2,38.698964623954,-122.02122186578,111,13844.13
